,Company,TypeName,Inches,ScreenResolution,Ram,OpSys,Weight,Touchscreen,IPS_panel,Cpu_brand,SSD,HDD,FlashStorage,Gpu_brand,Price
205,Lenovo,Gaming,15.6,1920x1080,16,No ,2.4,0,0,Intel Core i7,512,0,0,Nvidia,125820.0
352,MSI,Gaming,17.3,1920x1080,8,Windows,2.7,0,0,Intel Core i7,1128,1000,0,Nvidia,126810.0
443,Lenovo,Notebook,15.6,1920x1080,4,Windows,2.2,0,0,Other Intel,128,0,0,Intel,31410.0
374,Dell,2 in 1 Convertible,13.3,1920x1080,8,Windows,1.62,1,0,Intel Core i7,256,0,0,Intel,78210.9
731,Dell,Notebook,15.6,1366x768,12,Windows,2.25,0,0,Intel Core i5,0,1000,0,Intel,58410.0
1142,HP,2 in 1 Convertible,13.3,1920x1080,8,Windows,1.48,1,0,Intel Core i5,256,0,0,Intel,146610.0
30,Chuwi,Notebook,15.6,1920x1080,4,Windows,1.89,0,0,Other Intel,0,0,64,Intel,22049.1
1055,HP,Notebook,15.6,1366x768,4,Windows,2.31,0,0,Intel Core i3,0,500,0,Intel,63463.5
821,Toshiba,Ultrabook,14.0,1366x768,4,Windows,1.25,0,0,Intel Core i5,128,0,0,Intel,98100.0
306,HP,2 in 1 Convertible,13.3,1920x1080,16,Windows,1.28,1,0,Intel Core i7,256,0,0,Intel,177750.0
470,HP,2 in 1 Convertible,13.3,3840x2160,8,Windows,1.29,1,1,Intel Core i7,512,0,0,Intel,179910.0
1075,Lenovo,Notebook,17.3,1600x900,8,Windows,3.0,0,0,Intel Core i5,0,1000,0,AMD,59310.0
1092,Asus,Gaming,17.3,1920x1080,8,Windows,2.7,0,1,Intel Core i7,1256,1000,0,Nvidia,143910.0
71,Dell,Ultrabook,13.3,1920x1080,8,Windows,1.4,0,1,Intel Core i7,256,0,0,AMD,85950.0
598,Dell,2 in 1 Convertible,12.5,1920x1080,8,Windows,1.34,1,0,Intel Core i5,256,0,0,Intel,150300.0
400,Lenovo,Notebook,15.6,1366x768,4,Windows,2.2,0,0,Other Intel,0,1000,0,Intel,27540.0
417,HP,Ultrabook,14.0,1920x1080,8,Windows,1.43,0,0,Intel Core i7,256,0,0,Intel,135000.0
26,Apple,Ultrabook,13.3,1440x900,8,Mac,1.35,0,0,Intel Core i5,0,0,128,Intel,98910.0
233,Dell,Notebook,14.0,1920x1080,8,Windows,1.6,0,0,Intel Core i5,256,0,0,Intel,77310.0
1147,Dell,Notebook,15.6,1920x1080,8,Windows,2.18,0,0,Intel Core i7,256,0,0,Nvidia,90891.0
313,Acer,Notebook,15.6,1920x1080,8,Windows,2.23,0,0,AMD processor,256,0,0,AMD,42210.0
1042,Toshiba,Notebook,15.6,1920x1080,16,Windows,2.4,0,1,Intel Core i7,256,0,0,Nvidia,128250.0
1088,HP,Notebook,13.3,3200x1800,4,Chrome ,1.29,0,0,Other Intel,0,0,32,Intel,55350.0
